Apoptosis/TP53 activity	MCL1
	MDM2
	MDM4
	PPM1D
Cell growth and division	AURKA
	CCND1
	CCNE1
	CCNE2
	CDK2
	CDK4
	CDK6
	CDKN1A
	CDKN1B
	CDKN2A
	CDKN2B
	MSI2
	MYC
	PPP2R1A
	RB1
	TOP1
DNA replication/DNA repair	BRIP1
	NBN
	PARP1
	RAD21
	RAD51C
	RAD51D
	RAD52
	RECQL4
	RTEL1
	TERT
EMT	AXIN1
	AXIN2
	NOTCH2
	RNF43
	SOX2
	SOX9
	SOX19
Epigenetic	BRD4
	EED
	ELF3
	ETV6
	HOXB13
	KDM5A
	MEF2B
	NCOA3
	NCOR1
	PRDM14
	RARA
	TBX3
	WT1
Hormone signaling	ESR1
	FOXA1
	GATA3
Immune response/Inflammation/IFN	CD79B
	GNAS
	ICOSLG
	IKBKE
	IL10
	JAK3
	MPL
	NFKBIA
	PRDM1
	PTPRT
	SPOP
	VTCN1
Metabolism	FH
	IDH2
	PRKAR1A
	SDHA
	SDHAF2
	SDHC
mRNA Transcritpion/Translation	AGO2
	CDC73
	CDK12
	RPS6KB2
RTK/PI3K/MAPK	AKT2
	AKT3
	DDR2
	EGFR
	ERBB2
	FGF19
	FGF3
	FGF4
	FGFR1
	FGFR2
	IGF1R
	INPPL1
	KRAS
	MAP2K4
	NTRK1
	PAK1
	PIK3CA
	PIK3R2
	PREX2
	PTEN
	RIT1
	SRC
	YES1
