	MCL1	MDM2	MDM4	PPM1D	AURKA	CCND1	CCNE1	CCNE2	CDK2	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CDKN2B	MSI2	MYC	PPP2R1A	RB1	TOP1	BRIP1	NBN	PARP1	RAD21	RAD51C	RAD51D	RAD52	RECQL4	RTEL1	TERT	AXIN1	AXIN2	NOTCH2	RNF43	SOX2	SOX9	BRD4	EED	ELF3	ETV6	HOXB13	KDM5A	MEF2B	NCOA3	NCOR1	PRDM14	RARA	TBX3	WT1	ESR1	FOXA1	GATA3	CD79B	GNAS	ICOSLG	IKBKE	IL10	JAK3	MPL	NFKBIA	PRDM1	PTPRT	SPOP	VTCN1	FH	IDH2	PRKAR1A	SDHA	SDHAF2	SDHC	AGO2	CDC73	CDK12	RPS6KB2	AKT2	AKT3	DDR2	EGFR	ERBB2	FGF19	FGF3	FGF4	FGFR1	FGFR2	IGF1R	INPPL1	KRAS	MAP2K4	NTRK1	PAK1	PIK3CA	PIK3R2	PREX2	PTEN	RIT1	SRC	YES1
NDDMSO1_USD16091271	1.0742267459636212	-0.11756474388326989	-0.26697534481138746	0.019617412756572132	-0.3788551940936187	1.129229986232784	0.5216015254311179	0.3840267772880554	-0.2948627798285371	1.0919588836885021	-0.21359432120336835	0.3317350076161175	1.0257818070840186	0.9155988893335957	0.3800713286724331	-0.40581184398975306	0.22483067970474466	-0.5562237803760134	-0.3165206303740784	-0.32951707971988903	-0.5361377444484726	-0.6321132805595814	-0.27645896524021035	-0.46289685054350516	-0.1624820371821166	0.3438856416209052	-0.44554319499318623	1.1288102266864812	0.5899194046308752	0.46048724450747097	0.5939351937947034	0.5781125932480258	-0.7754684029598271	-0.13015522388646977	1.2944593780884148	1.2070331116091204	0.3338370994873734	0.24452974243824946	-0.22806980245299568	-0.11308733365559519	0.3878267122438645	-0.49557186143824133	0.11491075507624479	-0.4944220982623382	-0.2802014428910462	0.5439902724799731	0.7030905833553297	1.2486769205715973	0.07694394323049349	-0.026748703050466713	1.454354154177153	0.487348276510157	-0.5813371932172059	0.33313838854466915	0.7234567565747356	-0.22127183487561805	-0.6831167664548906	0.1771547045732048	0.0535043150005802	1.1260332807195197	-0.0541549119343046	-0.7303378837048191	-0.654565340397611	-1.1174929662250601	-0.07064982049908554	0.04406443393323868	-0.34843049669451676	-0.19933173787146719	0.5381756818545297	-0.27306267469030243	0.15811272410151292	-0.1786399245330406	-0.6419827072044844	0.9516735558048736	0.008962183969625882	-0.6471699099142643	-0.8929973141616393	-0.1906005144983296	-0.04594274779077494	1.0895776276271212	0.5707492382948358	1.3010115098881176	-0.4291594160924103	-0.4789195037461475	-0.5051664304350383	0.9843585994850588	-0.5531705938830377	-0.8537441780835825	0.4134492652327573	-0.4615691018743404	-0.5039384127497221	1.2025328755727713	-0.8590163778145087	-0.42555062616071565	-0.40570044326842136	0.6193574381098829	-0.38959642459311417
NDDMSO2_USD16091272	0.8831714190707929	-0.046740115986668836	-0.23401934320682533	0.025530671260638692	-0.2912885288420119	0.8212510940053205	0.40117883447325065	0.12485696388836864	-0.18332818541442245	0.8443342996408179	-0.3623017901385988	0.3895821847623904	0.8246069182546526	0.7638120274663932	0.4060922058177151	-0.4953099617527197	0.16778222284240032	-0.16655758992936986	-0.22617890224833723	-0.2671106832905462	-0.3362801934004597	-0.6134461968755625	-0.08874184570507206	-0.653752747646424	-0.11502967650541836	0.3023481149040725	-0.5683329004949699	0.7458821386549692	0.43774399217103577	0.4587934157124606	0.4648724598435374	0.3987232595797318	-0.49709524719086584	-0.012363832061263642	0.9267563526113058	0.7769947222995224	0.3673797203791182	0.10996286916011251	-0.22520821708733962	-0.25235263082545967	0.380065001965642	-0.47234275423748817	0.1956743950620857	-0.3138915171041732	-0.11815886929363194	0.26614056745463055	0.5571328002903249	0.6679874763418884	-0.006738200912355627	0.20143874353153382	1.0062696548750691	0.3444823381887919	-0.41265812036871086	0.3453063851611477	0.6718253222054673	-0.09163536188077698	-0.5836365881020078	0.30582117281578575	0.017043935187041493	0.8635915848892246	-0.09948127232324634	-0.526152668659518	-0.2680629210922287	-0.7051831152343289	0.06023260179473387	0.22230005853988655	-0.39846385976098614	-0.08860510630752436	0.4240413614667256	-0.31694381077517664	0.1549138549426372	-0.2768961940691764	-0.3675686120674831	0.6897747681899141	0.1885693257424723	-0.46189753284112217	-0.8485130784438187	-0.17543233006377962	0.06506402805320081	0.8523116600232219	0.4603662193135346	0.954776877052655	-0.17873857200529997	-0.37558681148925616	-0.2926863572647406	0.724303961058078	-0.1924665951042889	-0.35488429513641745	0.4040119936163856	-0.3842290380044749	-0.4311740327561683	0.8291261604105291	-0.7230560802745367	-0.16311622358888886	-0.30025014415487894	0.6094812015153961	-0.2328608907836415
NDDMSO3_USD16091450	0.18516823950149827	-0.008577400759893349	0.0021579989474777234	0.11106161944101595	-0.18345302157163706	0.2911035558605796	0.05324459886017618	-0.08484830105182095	-0.029472334025374993	0.35711906641137553	-0.1518492610444424	0.2137878294505935	0.21092145497602036	0.5807507699675731	-0.028824859671838243	-0.1750033500706681	0.1546072559431975	0.1719219960018502	-0.16024039323069433	-0.04709722119126901	-0.1771806112915961	-0.403022658809789	0.0868752476246206	-0.5095991021309031	0.15936525166079427	0.08028388130232489	-0.07666288071833642	0.1670377217806785	0.16764030117478318	0.24701579501501378	0.03229940035703744	0.045360682081130345	-0.1617145230554362	0.022136080935947145	0.16538437634309225	0.2119692919115016	0.295330849667176	0.014816421319771568	0.2208422721425322	0.10885111602431168	0.09606553528636164	-0.2304588399850511	0.16874391813889597	0.03400990377685748	-0.07325576098499595	0.0364736589509113	0.3344267216087095	0.10599865855131183	0.10485206945898512	0.19083851944417415	0.2532144005320961	0.17766736454905746	0.052371547728630646	0.008021821336379013	0.1913117304735301	0.18711129254626827	-0.0050399139226458166	0.21763400851048087	-0.09012027755277137	0.2726541213772233	0.049140874054103174	-0.1757264336587756	-0.23208146318454764	-0.22187811275937844	-0.23365890962398145	0.34750412867842645	-0.28524568766518205	0.05916685843072684	0.2730884020053876	-0.07629037945455389	0.13944595377046853	-0.17970742092488765	0.02488799659469199	0.27500655515652933	0.14159727074589826	-0.40697326011766377	-0.4015811625737506	0.27063761684238097	0.1139106496298432	0.2554762753431145	0.04482781838921159	0.4417410623516254	0.13232022783985467	0.06246312888955468	0.03911412646166015	0.2159437105185311	-0.42630398756637744	-0.28330558754367635	0.1747735137610967	-0.3397205703243046	-0.3832642497136459	0.1602158686328336	-0.4460074502315981	-0.4346907130524316	-0.06755337073553763	0.24850965825157004	-0.22664601213097105
NDDMSO3_5_CKDN200002461	0.2776867583526588	0.5839539531901978	0.9295444920873832	-0.08150589247351242	0.461586762931356	-0.08432472429714455	0.42054035558237357	0.9186495148280337	0.034033687148651154	0.47473291083811925	0.010196663400434616	-0.53738294811324	-0.1779094739576674	0.3935461284247397	-1.5276351247341726	0.24649784619456677	-0.19089146960156333	-0.25259573437011107	0.4262318408182878	0.13736080372724327	0.6872571185628903	0.47232997256899933	0.026469031813460338	-0.084931094436585	0.6641643450095293	-0.2906370507497561	0.034329855372305415	-0.449930581092828	-0.25933926388577927	-0.1698295100882706	-0.4993709759612044	-0.08338749992914236	-0.09928499141282066	-0.43842687925255297	-0.3766510342305906	-0.7814602591480324	-0.030848616271384088	0.5788122500576084	-0.5995169467141263	0.052801135375549785	-0.6617586173340837	0.26698172106388	-0.4569014242789956	0.6030637204521534	0.33714066092438116	-0.16321948046576443	-0.10105197417484041	-0.22975011098038572	-0.2360189886623704	0.5161434160342275	-0.7812930239671695	-0.12979014572435613	-0.36128809942543866	-0.09743383261671973	-0.17253627626807935	-0.4254577757935169	-0.3881082833015142	-0.32720974637296935	-0.20692274399107535	-0.2693559737976953	-0.14063136834874546	-0.19354439840817256	0.3180070715569824	0.14151602533475674	0.40307283273033295	0.3348521341657166	-0.08407620431481895	0.015263877433510245	0.3801764915057127	-0.14649922601216184	-0.1553300089973221	0.1084046494011777	0.03932017317276831	-0.14235830743767752	-0.40781627415913096	0.32348543463252016	-0.760414046542528	0.9994284473512995	-0.3615814049636585	-0.4080152051399257	-0.5633851496833743	-0.32803430253529475	0.015485145962099971	0.5273380207305519	0.4794115954123641	-0.2891828623785589	0.4664776508785908	0.6205248470671134	-0.7316947202144839	-0.32078868128860943	0.37721237994574824	-0.3935250745497019	0.2881122222962161	0.395806647138194	-0.025326572271337434	-0.328160193528155	0.46519780827362417
NDDMSO3_7_CKDN200002463	0.5930255893951201	0.20885391080476456	0.469776880588829	0.20504252411346333	0.14489399265581338	0.33427968345113457	-0.18710835510896456	0.10219001415899268	0.12031148148736508	0.4851247115925466	-0.6522678804401719	0.14782619258042126	0.21253035584015503	0.64849068992036	-0.15411244179646005	-0.7863876316974141	0.06718898263981181	-0.29967302146611263	-0.006549049056542291	-0.08285115440115226	0.15457898741019854	-0.41913271572566246	0.09662796661769561	-0.8414193448380148	0.310351565259433	0.02161891150406119	0.07557062375070303	0.2553464576491254	0.1203457546525042	-0.03319742413513795	0.3454532362169389	-0.366609181428143	-0.11956612478772433	-0.8286072427027874	0.321651288023062	0.28990541493387995	-0.19862229113623148	-0.4957989580807663	0.2616230361540638	0.20923772786344086	-0.09863532087238477	-0.02442579393803245	-0.25027577644281496	0.05891107550494862	-0.04103058745466752	-0.1673884961895477	0.47072212163951827	0.23180507461684724	0.18067462879137666	-0.2385169913398457	-0.008595798501330711	0.320747187015908	-0.41183245366665866	-0.1002029914272438	0.2477302552692527	0.8946380642749899	0.494943781409973	-0.33402681158942954	-0.4596694959201612	-0.0996362109473555	0.12517713305865658	-0.07627533581664857	-0.35634015856823614	-0.13110690543085513	-0.121766808559088	0.3631548013235312	-0.8375765592046744	-0.1396253047923794	0.11358925893009296	0.14654512541835105	0.10345720356052253	-0.05320455291436735	-0.06988068341935208	0.4841500198016771	-0.3880745037742189	-0.08432922598829277	-0.4847685761834762	0.3568150138076531	0.10183937884275039	0.2626350822999884	0.14874493476824102	0.29162880492361065	0.13745787479585023	0.07142850076008123	0.1808771838210622	0.26055276322756143	-0.02853236378956401	0.047468738242904616	0.26098894285338037	-1.0414553947433238	-0.26018152966170205	-0.2544213718091881	-0.5132536623835623	-0.38673399544979464	-0.017285854211276635	0.1401122337161287	-0.17228187647823084
DOXDMSO1_USD16091277	0.3755915855872528	0.05721712063165407	-0.3034686884368923	0.024580536011665037	-0.44906931442106135	0.5685141732436347	0.36198467233035786	0.2003137741068496	-0.06586487442282747	0.6249662397312974	-0.27626435459522103	0.25662767837634937	0.6513799877100908	0.8615200044992578	0.17081689945422157	-1.1566477831522528	0.22692469216594913	-0.09190914105095406	-0.15192134067814525	-0.10263245320687674	-0.40710291948540933	-0.440636764601979	0.0011685597209840357	-0.30120164159713947	-0.129946229094427	0.3703508463202769	-0.10359374886514866	0.38669383330565876	-0.4092747268967605	0.4169057877294012	0.4066355216676203	-0.17381103763928243	-0.32095500895058215	-0.7081951395060683	0.7297775660099104	0.4524896485115016	0.36600967482943975	0.044612564238931195	-0.13983839444694424	-0.15102326566914687	0.3947928636868877	-0.3538872782650665	0.24452263019757697	-0.31178035962854944	-0.023832152884341998	0.2788741562885665	0.47983594387226336	0.6038845399755032	0.10261722330210324	-0.03478104407085697	0.7579204480675452	0.35030029883942754	-0.7711471395184327	-0.44603839610523643	0.2780719828735041	0.009452516906660838	-0.5451203206224091	0.4062944559264967	-0.23489529303194054	0.6422405210573459	0.0370519852915999	-0.4599923953907362	-0.7973188548039353	-0.45033000573760873	0.09797578983765638	0.3026836572273466	-0.6525630404161347	0.027001946763372628	0.24508966183284764	-0.19591544265029265	0.1302001470163388	0.003823071081289314	-0.2663184473306563	0.6038579198229341	0.22165883785093266	-0.327478325386526	-0.6628981592830308	-0.3465186596215347	0.17950347982065246	0.5371324880675143	0.28230281237361377	0.7110893308729614	-0.1075795594354575	-0.3217270898525787	-0.21038231367912227	0.645248580612458	-0.2130603217949523	-0.29216956126930393	0.4293561271241673	-0.25131880332251955	-0.2530723369060249	0.550201099790731	-0.6278939281941309	-0.31924764523264587	-0.12135730651795254	0.5290350326757162	-0.13058457779926672
DOXDMSO2_USD16091453	-0.04114204557256346	-0.010020876878215563	-0.1172608069611382	-0.02471899062581847	-0.28681561320480553	0.12330834847640101	0.03375228268750251	-0.1103463486799438	-0.06599432592202469	0.2635990440562995	0.005146071099411871	0.16815780022816365	0.18269719532364553	-0.05524126962515029	-0.11461981670408186	-0.945559722875738	0.11957541259284037	0.18233375029315835	-0.024533206672044575	0.20683780255839887	-0.10172152865692673	-0.12718236192465887	0.1573216216357015	-0.14510821103887458	-0.06090767603652887	0.07851522389912406	-0.022140119898824254	-0.17174587591971568	-0.8232276386334599	0.09385901591726259	-0.04664476499040362	-0.5475097059148468	0.11291462520499886	-0.690244452845902	0.06334408912096967	0.13318321877609934	0.11310765037149323	0.14997026241921874	0.09873676600495769	0.09337420924500922	-0.07812453769159615	-0.019605968652924573	0.014152742191790848	-0.005740211106657949	0.03815666839603029	-0.07274798797635332	0.16189575075812476	0.09481223563011973	0.15830829846294348	0.10861054182271246	0.1021872261467231	0.08009903356581757	-0.5261369884692279	-0.7687623451277333	-0.04318243945282722	0.049857104725245266	0.07452660534517935	0.045657237052697426	-0.535038927362508	0.13913677554170115	-0.08406065991509779	0.19255753144326596	-0.5366383989973559	0.07629823140685525	-0.0970614453197773	0.31091909375487753	-0.5185294398816068	0.04876571814212629	0.1655948462303978	-0.0035667571655868383	-0.05879524709133897	0.03157331502435209	0.03110536650885981	0.04499884487769432	-0.023178000925413052	-0.027825812044749702	0.08952370263194553	-0.15986581984886433	-0.04912344556331713	0.12995837332098628	-0.13963345691552276	0.11170769215269577	0.06987902253667402	-0.04550072379932863	0.16385938947560558	0.05117654949458596	0.05281847623230279	0.06681684660865055	0.06689902325793456	-0.06693736996356647	-0.017685147770117923	-0.04437492070339065	-0.09282897250154769	-0.2685325001577633	-0.05213657402222751	0.15689897736033007	0.0676909151674275
DOXDMSO3_USD16091279	0.31505439528521695	0.04297211088947048	-0.35046929132644544	-0.003209464379045643	-0.43082405488854625	0.48824910184407866	0.5603156282115198	0.4591193756391048	-0.1416424228137786	0.85209028701269	-0.06795137090350856	0.17653461306655802	0.6847092342450641	1.1710458486381972	0.3346860285451801	-1.1548446256942169	-0.019398788156621716	-0.10379852887719225	0.1287701761314988	0.0007739427084500422	-0.29929614834155327	-0.3173553129167981	0.10238565819210174	0.00900887087185658	-0.1124296805037697	0.30835220313028017	-0.031926954006341636	0.44521093253284966	-0.572079191922776	0.3518812016896839	0.4461220807432523	-0.25148187302574204	-0.31129860502394635	-0.7818817636181302	0.8796117828720976	0.5954663561037906	0.1491386050411711	0.10580043428603776	0.05712709958611945	0.10850838825871213	0.18591575998086735	-0.27337468044864116	-0.06073369360311521	-0.28489876595467173	-0.012533158629594702	0.4887673608589337	0.4343980345443246	0.7136284552054936	0.29387724885244754	0.08097644886722377	1.0186084751363427	0.34598526608568575	-0.8624105920369818	-0.43978043365158026	-0.008914093482409055	-0.10588980707205821	-0.4597785888665256	0.0602042501528679	-0.40210211136409996	0.6067279738187126	0.03228649353688712	-0.32328796050543457	-0.8125271795318024	-0.506381895798818	0.17519617703810722	0.2702755531432035	-0.4875665415398339	0.013345199296883667	0.32118283083536525	-0.08323151312352398	0.08590581127099478	0.08003644943355515	-0.24543100393637396	0.5012097827361509	0.05765456951427732	-0.20361959709413682	-0.3758221706593041	-0.35886372886686924	-0.08615709241486957	0.7544296727084407	0.3156350665377405	0.8305350458180978	-0.024580499437995586	-0.2526034955877278	-0.22394335568734638	0.7700926415625042	-0.0050313797857106215	-0.0721573541408116	0.18027391422085956	-0.1674755103835525	-0.17515537952949453	0.5495775548883409	-0.4943984481466913	-0.0654011292676923	-0.07781076850809159	0.5916785736412213	-0.0027381175288477308
DOXDMSO3_6_CKDN200001814	-0.2414135538276492	0.24275262994728736	0.11263807014248699	-0.1052312372904462	-0.16531403244800277	-0.19566610667773654	0.14845783616935007	0.10121613120151621	0.052874810380147116	0.25832472973621307	-0.115406928015547	-0.14622895832483274	-0.06255776850760232	-0.20926656228313925	-1.1765269073736395	-0.8508476816698387	-0.21412085704090836	0.15541713808507854	0.250895334836693	0.05298851271152119	0.014448933636526782	0.014323824062138857	-0.45612389580913487	-0.07852335492978815	0.07401181806625477	0.018876460633655355	0.1332881152958615	-0.34373188008337835	-1.0577027637114649	-0.13780212660137497	0.19540857918814508	-0.5367836311436863	0.0992872041798137	-0.8670286481386427	-0.25082747029068364	-0.22461770318698343	0.02687226933002369	0.1508085219421945	0.14969374525076595	0.21808865486132623	-0.12048631153490989	0.1409791783243032	-0.0040159812913566585	-0.11735914438539971	0.14298732538071915	-0.1569295248565702	-0.05235854293463059	0.04013126496883002	0.10485283569677062	-0.03278714250752715	-0.07627931117272505	-0.21508197030022902	-0.588812096686399	-0.8051224831769038	-0.10072582826224794	0.07264302378886939	0.07120611257560727	-0.027507007086464433	-0.6320688544763547	0.1323181197125894	-0.028877938533147185	0.14143922612938842	-0.507891810657429	0.2088442386102051	-0.35485053483391193	0.12582159897119202	-0.5469882945138413	-0.014712449866754134	0.0017365862625224962	0.06528183156769533	-0.18387085461015296	0.16610439469565189	0.09996324117507303	0.02197380831354346	-0.1217172259315486	-0.4907980328631092	0.056338747965456626	-0.08120770932327515	-0.08930554542516336	0.004958267805466724	-0.29132077816562485	0.1320228522971759	0.13020712697615414	0.10269361185208012	0.15404784215710415	0.09817502165239958	0.16282831929872338	0.1372676880339616	-0.03464713936642358	0.02999647598537914	0.1968459340223326	-0.2097891770986157	-0.29077628503153297	0.07179195153305076	0.12180015485209247	0.014027439682807915	0.08928672934117263
DOXDMSO3_9_CKDN200001816	0.06802117159355918	0.2810782251900924	0.530038431398219	0.1156632825004859	-0.16254966540284116	-0.36176393852939764	0.21115249502553501	0.13568847466006131	0.1959832040994759	0.5943236370054246	-0.1320329128566144	-1.3915573086553974	0.014233811039291102	-0.3564766569343508	0.09871796881647568	-0.43343520530200624	-1.0793364837938266	-0.47406768031748747	0.3013193824125875	-0.17861058865388682	0.5161373896801464	-0.45620090574739763	-0.08670370912066172	0.8468421115532689	0.38991950147321697	-0.12015042976952876	0.23183965011907934	-0.8553973409385621	-1.1591091687495518	-0.9487071581195463	0.09088212940237148	-0.7601418162005067	-0.014075930803788257	-0.7832046657234338	-1.3999832092568647	0.7454494136279511	0.7603451691202268	0.8910265968264568	-0.13691027967666625	0.07358784746810079	-1.314264896778912	0.7985036788975239	-0.48067257543550523	0.5329787690196492	0.41717366060487043	-0.4195288274696524	-0.14161697726214192	-0.12894439900136348	0.035125793479455526	-0.037615836037142004	-0.2847983827789387	0.6404070846495147	-1.3591428839746529	-1.1115768361883334	-0.9955878040036218	-0.1303711331148974	0.19413433899602847	-0.23465749862940494	-0.1987351196734153	-0.2577338908180087	0.4688733339532547	-0.6043206927261554	-0.42436214125867294	0.3130890308979042	0.31415540321409396	-0.15517030544921348	-0.10360373011558544	-0.28450349680678755	0.47555350121553297	0.6393557088504203	-0.6026592951112457	-0.48123443196316806	0.5956233565587669	-0.10438311391121208	-0.9540743345513482	0.6299670195897435	0.2836457330629484	0.18307538409685897	-0.005575236982778249	-0.7673068186122075	-0.9641592341555905	-0.6349970906493093	-0.03712935623753333	-0.02693902848586377	-0.09289356192276553	-0.28542634819496765	0.12895017023589084	0.2434140853141901	-0.12512778726934007	0.5182322108852733	0.16948265641882132	-0.6183720814117123	-0.008624131105781347	-0.1463945290200557	0.44091435847875415	-0.530321476798337	0.4547957684246916
